Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Profit growth,Profit growth 3Years,Sales growth,Sales growth 3Years,Return on capital employed,Average return on capital employed 3Years,rocev2,epsgeni,gordanIV,discount2,discount1,geniscore1,momentumscore,CashFlow,master score,epsgrowthbydiscount,epsgrowthbydiscount2,epsgrowthbyprice2,accumulation,roicreinv,Return over 1week,Return over 1month,Return over 3months,volumeincr,rsiincr,equityreduce,debtgeni,epsgrowth,Canslim,capacity expansion,BSchklist,cyclicaltriggers,margin,garp,fundamental value,Volume,Volume 1week average,Volume 1month average,debtreduce,npmargin,opmargin,pubholdingdecr,Quarterly Growers,YOY Quarterly sales growth,YOY Quarterly profit growth,Price to Earning,Promoter holding,Change in promoter holding,Industry PE,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,Market Capitalization
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1352.20,8.33,18.76,5.25,12.80,53.61,55.59,1.87,1.01,0.12,0.31,-0.21,6.65,3,1.27,9,-0.08,0.26,0.21,0,0.00,3.00,3.06,-9.84,0,1,0,3,0.84,0,0,7,3,0.11,0,0,23343,15206,34388,0,-0.02,0.20,0,0,7.14,-8.78,16.00,74.66,0.00,25.69,1332.38,1392.79,1331.57,1393.19,2018.33
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,848.15,14.31,57.26,4.95,26.86,40.11,36.19,1.12,1.02,0.09,0.36,0.09,3.97,0,0.22,5,0.03,0.32,0.95,0,0.00,-7.12,-8.33,-21.93,0,0,0,3,0.88,0,0,7,1,0.07,0,0,314775,231054,192761,0,0.02,0.11,0,0,-1.65,-5.01,24.16,65.42,0.00,33.35,961.54,1078.72,966.16,1081.04,10100.04
AGI Infra,539042,AGIIL,INE976R01033,Realty,"Residential, Commercial Projects",283.40,36.97,22.34,16.11,18.03,22.03,25.80,0.67,3.01,0.04,0.20,-1.31,2.70,2,0.06,8,0.00,0.22,1.13,0,0.00,-2.01,8.71,5.79,0,1,0,2,1.11,0,1,8,3,0.19,0,0,2366255,1114597,1850534,0,0.13,0.23,0,1,9.98,26.36,45.04,72.94,0.00,33.22,268.32,229.56,267.70,229.02,3462.22
Alldigi Tech,532633,ALLDIGI,INE835G01018,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),818.95,16.40,26.79,13.06,19.87,31.36,29.01,0.96,3.01,0.09,0.35,0.08,6.55,0,1.04,9,0.07,0.41,1.14,0,0.00,0.04,-1.18,-5.56,0,0,0,2,1.19,0,1,6,4,0.10,0,0,3195,3487,3829,0,0.06,0.13,0,0,12.17,49.70,17.25,73.39,0.00,35.93,846.19,903.16,847.31,904.01,1247.94
Angel One,543235,ANGELONE,INE732I01013,Capital Markets,Stockbroking & Allied,2752.20,-42.48,23.31,-14.56,31.73,25.80,36.15,0.82,1.01,0.06,0.32,-0.20,1.76,5,-0.19,10,-0.22,0.35,0.06,1,0.00,17.94,11.02,10.24,1,1,0,1,1.12,0,1,9,3,0.11,0,0,5839157,2415687,1185041,0,-0.07,0.24,0,1,5.76,-4.55,32.50,28.91,-0.06,20.56,2512.29,2541.44,2502.50,2539.32,25005.24
Apar Inds.,532259,APARINDS,INE372A01015,Electrical Equipment,Other Electrical Equipment,7410.50,10.50,48.21,21.19,25.87,32.70,42.60,0.80,1.01,0.07,0.27,-0.32,2.41,0,0.10,6,-0.36,0.26,1.07,0,0.00,-9.50,-13.92,-14.72,0,0,0,3,0.98,0,0,5,2,-0.02,0,0,94934,90146,58950,0,-0.06,0.01,1,0,23.06,29.82,31.68,57.77,0.00,28.08,8475.60,8340.77,8519.07,8350.12,29766.73
Arrow Greentech,516064,ARROWGREEN,INE570D01018,Industrial Products,Packaging,475.05,-5.39,104.58,4.16,93.34,53.25,36.48,1.64,2.06,0.19,0.50,0.28,7.08,0,0.50,8,0.44,0.72,1.46,0,0.00,-2.11,-7.18,-13.83,0,0,0,4,1.43,0,0,8,2,0.18,0,0,10437,18607,20851,1,0.12,0.21,0,0,-5.81,-15.65,14.07,64.81,0.00,19.66,524.31,586.15,526.32,587.26,716.75
Ashapura Minech.,527001,ASHAPURMIN,INE348A01023,Minerals & Mining,Industrial Minerals,814.75,157.38,60.18,50.87,28.93,18.64,17.35,0.65,1.03,0.10,0.33,-0.07,2.52,0,-0.09,8,-0.04,0.30,0.98,0,0.00,-6.03,5.80,22.37,0,0,0,1,0.93,0,1,5,1,0.24,1,0,759994,643980,925686,0,0.36,0.17,1,0,57.67,117.93,19.54,47.88,0.09,21.41,782.82,609.17,781.52,607.10,7782.99
Ashoka Buildcon,533271,ASHOKA,INE442H01029,Construction,Civil Construction,150.16,70.03,49.27,-17.28,18.71,39.70,31.57,1.34,1.17,0.75,0.75,0.79,8.45,0,0.14,8,0.55,0.60,0.85,0,0.00,-7.35,-13.67,-21.09,0,0,0,4,0.80,0,0,6,2,0.65,0,0,1344787,1287560,692771,2,1.29,0.22,0,0,-25.62,-54.50,2.79,54.48,0.00,17.58,171.67,190.26,172.54,190.66,4215.34
Authum Invest,539177,AIIL,INE206F01022,Finance,Non Banking Financial Company (NBFC),631.20,-0.51,85.20,-0.36,71.39,30.85,26.23,1.29,1.12,0.31,0.53,0.32,4.08,4,0.04,9,0.30,0.49,0.20,1,0.00,3.55,16.79,-0.20,0,1,0,2,0.92,0,1,9,2,0.35,0,0,1006868,1675480,449695,0,0.08,0.53,0,0,-45.45,-9.38,13.34,68.79,-6.16,21.51,588.96,528.93,587.24,527.91,53603.11
Banco Products,500039,BANCOINDIA,INE213C01025,Auto Components,Auto Components & Equipments,630.05,25.88,35.60,17.66,17.95,32.36,28.38,1.01,3.02,0.09,0.31,-0.14,4.63,0,0.08,8,-0.09,0.40,1.35,0,0.00,-5.72,-9.14,-13.39,0,0,0,1,1.27,0,0,6,3,0.10,0,0,177090,248870,202349,0,0.09,0.10,0,0,16.01,0.14,20.82,67.88,0.00,28.64,698.79,633.02,701.59,633.05,9012.07
